Algorithm,Dataset,Recall@N,QPS,Avg AF,Avg Approx Time (s),Avg Exact Time (s)
Hypercube,MNIST,0.002,2.43,1.652,0.001,0.424
IVFFlat,MNIST,0.983,1.907,0.51,0.029,0.435
IVFPQ,MNIST,0.475,1.092,2.458,0.022,0.988
LSH,MNIST,0.03,3.115,1.537,0.002,0.32
