Algorithm,Dataset,Recall@N,QPS,Avg AF,Avg Approx Time (s)
Hypercube,SIFT,0.055,589.115,1.236,0.0
IVFFlat,SIFT,0.893,497.392,0.06,0.0
IVFPQ,SIFT,0.711,129.59,2.722,0.006
LSH,SIFT,0.084,521.566,1.17,1.225
